timestamp, tc_value, dash_value, dash_client_id
1646807809, 20000, 24353, dashjs3.1.3_c48
1646807810, 20000, 19550, dashjs3.1.3_c48
1646807811, 20000, 8983, dashjs3.1.3_c67
1646807812, 20000, 12422, dashjs3.1.3_c48
1646807813, 20000, 10292, dashjs3.1.3_c48
1646807813, 20000, 10090, dashjs3.1.3_c67
1646807815, 20000, 10530, dashjs3.1.3_c48
1646807815, 20000, 10395, dashjs3.1.3_c67
1646807816, 20000, 10326, dashjs3.1.3_c48
1646807816, 20000, 10635, dashjs3.1.3_c67
1646807818, 20000, 10156, dashjs3.1.3_c48
1646807818, 20000, 10350, dashjs3.1.3_c67
1646807819, 20000, 9982, dashjs3.1.3_c67
1646807819, 20000, 10670, dashjs3.1.3_c48
1646807820, 20000, 19949, dashjs3.1.3_c67
1646807821, 20000, 20131, dashjs3.1.3_c67
1646807823, 20000, 20301, dashjs3.1.3_c48
1646807824, 20000, 20301, dashjs3.1.3_c67
1646807826, 20000, 20900, dashjs3.1.3_c48
1646807828, 20000, 20475, dashjs3.1.3_c67
1646807830, 20000, 20738, dashjs3.1.3_c48
1646807832, 20000, 20738, dashjs3.1.3_c67
1646807836, 8000, 7434, dashjs3.1.3_c48
1646807838, 8000, 7482, dashjs3.1.3_c67
1646807840, 8000, 7511, dashjs3.1.3_c48
1646807842, 8000, 6831, dashjs3.1.3_c67
1646807845, 8000, 6327, dashjs3.1.3_c48
1646807847, 8000, 5208, dashjs3.1.3_c67
1646807849, 8000, 4729, dashjs3.1.3_c48
1646807851, 8000, 4735, dashjs3.1.3_c67
1646807853, 8000, 4131, dashjs3.1.3_c48
1646807854, 8000, 5669, dashjs3.1.3_c67
1646807856, 8000, 8237, dashjs3.1.3_c48
1646807858, 8000, 8220, dashjs3.1.3_c67
1646807861, 8000, 5957, dashjs3.1.3_c48
1646807863, 8000, 8998, dashjs3.1.3_c48
1646807864, 4000, 4478, dashjs3.1.3_c67
1646807869, 4000, 2771, dashjs3.1.3_c67
1646807875, 4000, 2061, dashjs3.1.3_c48
1646807879, 4000, 1812, dashjs3.1.3_c67
1646807883, 4000, 2173, dashjs3.1.3_c48
1646807886, 4000, 2801, dashjs3.1.3_c67
1646807888, 4000, 1844, dashjs3.1.3_c48
1646807892, 4000, 2111, dashjs3.1.3_c67
1646807893, 4000, 1899, dashjs3.1.3_c48
1646807893, 2000, 7100, dashjs3.1.3_c67
1646807901, 2000, 1126, dashjs3.1.3_c48
1646807901, 2000, 1430, dashjs3.1.3_c67
1646807902, 2000, 1031, dashjs3.1.3_c48
1646807909, 2000, 1362, dashjs3.1.3_c48
1646807909, 2000, 1191, dashjs3.1.3_c48
1646807912, 2000, 723, dashjs3.1.3_c67
1646807913, 2000, 1173, dashjs3.1.3_c48
1646807914, 2000, 1031, dashjs3.1.3_c48
1646807916, 2000, 1431, dashjs3.1.3_c48
1646807918, 2000, 1101, dashjs3.1.3_c48
1646807918, 2000, 1162, dashjs3.1.3_c67
1646807918, 2000, 988, dashjs3.1.3_c48
1646807920, 2000, 1290, dashjs3.1.3_c48
1646807921, 2000, 1459, dashjs3.1.3_c67
1646807924, 2000, 1453, dashjs3.1.3_c48
1646807924, 2000, 1494, dashjs3.1.3_c67
1646807924, 4000, 7848, dashjs3.1.3_c67
1646807925, 4000, 4889, dashjs3.1.3_c67
1646807927, 4000, 4487, dashjs3.1.3_c48
1646807927, 4000, 4617, dashjs3.1.3_c67
1646807931, 4000, 3284, dashjs3.1.3_c48
1646807931, 4000, 4177, dashjs3.1.3_c67
1646807935, 4000, 2533, dashjs3.1.3_c48
1646807935, 4000, 2785, dashjs3.1.3_c67
1646807940, 4000, 2627, dashjs3.1.3_c48
1646807940, 4000, 2134, dashjs3.1.3_c67
1646807944, 4000, 2098, dashjs3.1.3_c67
1646807944, 4000, 2705, dashjs3.1.3_c48
1646807947, 4000, 2405, dashjs3.1.3_c67
1646807948, 4000, 3377, dashjs3.1.3_c48
1646807952, 4000, 2722, dashjs3.1.3_c48
1646807952, 4000, 2512, dashjs3.1.3_c67
1646807955, 4000, 3986, dashjs3.1.3_c48
1646807956, 8000, 1183, dashjs3.1.3_c67
1646807959, 8000, 6506, dashjs3.1.3_c48
1646807959, 8000, 6071, dashjs3.1.3_c67
1646807963, 8000, 4341, dashjs3.1.3_c67
1646807963, 8000, 5177, dashjs3.1.3_c48
1646807967, 8000, 4360, dashjs3.1.3_c67
1646807967, 8000, 5170, dashjs3.1.3_c48
1646807971, 8000, 5510, dashjs3.1.3_c48
1646807971, 8000, 4507, dashjs3.1.3_c67
1646807977, 8000, 4169, dashjs3.1.3_c67
1646807977, 8000, 4849, dashjs3.1.3_c48
1646807980, 8000, 5253, dashjs3.1.3_c48
1646807980, 8000, 5161, dashjs3.1.3_c67
1646807983, 8000, 6926, dashjs3.1.3_c48
1646807983, 8000, 7087, dashjs3.1.3_c67
1646807986, 20000, 20522, dashjs3.1.3_c48
1646807986, 20000, 21004, dashjs3.1.3_c67
1646807990, 20000, 20170, dashjs3.1.3_c48
1646807991, 20000, 20245, dashjs3.1.3_c67
1646807994, 20000, 20970, dashjs3.1.3_c48
1646807995, 20000, 20324, dashjs3.1.3_c67
1646807998, 20000, 12395, dashjs3.1.3_c48
1646807999, 20000, 13793, dashjs3.1.3_c67
1646808002, 20000, 17808, dashjs3.1.3_c48
1646808003, 20000, 18744, dashjs3.1.3_c67
1646808006, 20000, 19724, dashjs3.1.3_c48
1646808007, 20000, 19531, dashjs3.1.3_c67
1646808010, 20000, 16675, dashjs3.1.3_c48
1646808011, 20000, 17907, dashjs3.1.3_c67
1646808015, 20000, 10622, dashjs3.1.3_c48
1646808015, 20000, 11106, dashjs3.1.3_c67
1646808022, 8000, 4021, dashjs3.1.3_c67
1646808022, 8000, 4550, dashjs3.1.3_c48
1646808025, 8000, 4260, dashjs3.1.3_c48
1646808026, 8000, 4524, dashjs3.1.3_c67
1646808030, 8000, 4140, dashjs3.1.3_c48
1646808030, 8000, 4238, dashjs3.1.3_c67
1646808033, 8000, 4030, dashjs3.1.3_c48
1646808034, 8000, 4141, dashjs3.1.3_c67
1646808036, 8000, 4150, dashjs3.1.3_c67
1646808036, 8000, 4451, dashjs3.1.3_c48
1646808039, 8000, 5848, dashjs3.1.3_c48
1646808040, 8000, 6403, dashjs3.1.3_c67
1646808043, 8000, 5731, dashjs3.1.3_c48
1646808044, 8000, 5949, dashjs3.1.3_c67
1646808051, 4000, 2110, dashjs3.1.3_c48
1646808051, 4000, 2090, dashjs3.1.3_c67
1646808055, 4000, 2045, dashjs3.1.3_c67
1646808057, 4000, 2042, dashjs3.1.3_c48
1646808061, 4000, 2032, dashjs3.1.3_c48
1646808062, 4000, 2085, dashjs3.1.3_c67
1646808065, 4000, 2045, dashjs3.1.3_c48
1646808066, 4000, 2078, dashjs3.1.3_c67
1646808068, 4000, 2312, dashjs3.1.3_c67
1646808068, 4000, 2139, dashjs3.1.3_c48
1646808069, 4000, 2294, dashjs3.1.3_c67
1646808069, 4000, 2339, dashjs3.1.3_c48
1646808071, 4000, 2825, dashjs3.1.3_c48
1646808072, 4000, 3282, dashjs3.1.3_c67
1646808076, 4000, 3066, dashjs3.1.3_c48
1646808076, 2000, 2883, dashjs3.1.3_c67
1646808083, 2000, 1194, dashjs3.1.3_c48
1646808084, 2000, 1115, dashjs3.1.3_c67
1646808090, 2000, 1067, dashjs3.1.3_c48
1646808090, 2000, 1165, dashjs3.1.3_c67
1646808092, 2000, 996, dashjs3.1.3_c67
1646808094, 2000, 1158, dashjs3.1.3_c48
1646808096, 2000, 1099, dashjs3.1.3_c48
1646808097, 2000, 1118, dashjs3.1.3_c67
1646808098, 2000, 1062, dashjs3.1.3_c48
1646808098, 2000, 1731, dashjs3.1.3_c67
1646808098, 2000, 2603, dashjs3.1.3_c48
1646808099, 2000, 2026, dashjs3.1.3_c67
1646808105, 2000, 1252, dashjs3.1.3_c48
1646808105, 2000, 1371, dashjs3.1.3_c67
1646808108, 4000, 1290, dashjs3.1.3_c48
1646808111, 4000, 3886, dashjs3.1.3_c48
1646808111, 4000, 3992, dashjs3.1.3_c67
1646808114, 4000, 5379, dashjs3.1.3_c48
1646808114, 4000, 5846, dashjs3.1.3_c67
1646808118, 4000, 4436, dashjs3.1.3_c48
1646808118, 4000, 5359, dashjs3.1.3_c67
1646808122, 4000, 3139, dashjs3.1.3_c48
1646808122, 4000, 4191, dashjs3.1.3_c67
1646808126, 4000, 5292, dashjs3.1.3_c48
1646808126, 4000, 4178, dashjs3.1.3_c67
1646808130, 4000, 5824, dashjs3.1.3_c48
1646808130, 4000, 5272, dashjs3.1.3_c67
1646808134, 4000, 4690, dashjs3.1.3_c48
1646808134, 4000, 5824, dashjs3.1.3_c67
1646808138, 8000, 8912, dashjs3.1.3_c48
1646808138, 8000, 9403, dashjs3.1.3_c67
1646808142, 8000, 8383, dashjs3.1.3_c48
1646808142, 8000, 8912, dashjs3.1.3_c67
1646808146, 8000, 11684, dashjs3.1.3_c48
1646808146, 8000, 8340, dashjs3.1.3_c67
1646808153, 8000, 5240, dashjs3.1.3_c48
1646808153, 8000, 5143, dashjs3.1.3_c67
1646808157, 8000, 4455, dashjs3.1.3_c48
1646808157, 8000, 5001, dashjs3.1.3_c67
1646808161, 8000, 4885, dashjs3.1.3_c48
1646808161, 8000, 4213, dashjs3.1.3_c67
1646808164, 8000, 5626, dashjs3.1.3_c48
1646808166, 8000, 5761, dashjs3.1.3_c67
1646808166, 8000, 19061, dashjs3.1.3_c67
1646808167, 20000, 6136, dashjs3.1.3_c48
1646808170, 20000, 21078, dashjs3.1.3_c48
1646808171, 20000, 20334, dashjs3.1.3_c67
1646808174, 20000, 14662, dashjs3.1.3_c48
1646808175, 20000, 16428, dashjs3.1.3_c67
1646808179, 20000, 11051, dashjs3.1.3_c48
1646808179, 20000, 13745, dashjs3.1.3_c67
1646808182, 20000, 16358, dashjs3.1.3_c48
1646808183, 20000, 17435, dashjs3.1.3_c67
1646808187, 20000, 12265, dashjs3.1.3_c48
1646808187, 20000, 14646, dashjs3.1.3_c67
1646808190, 20000, 20558, dashjs3.1.3_c48
1646808191, 20000, 20352, dashjs3.1.3_c67
1646808194, 20000, 16468, dashjs3.1.3_c48
1646808195, 20000, 18485, dashjs3.1.3_c67
1646808200, 8000, 4630, dashjs3.1.3_c48
1646808201, 8000, 5438, dashjs3.1.3_c67
1646808205, 8000, 4861, dashjs3.1.3_c48
1646808206, 8000, 4605, dashjs3.1.3_c67
1646808210, 8000, 4200, dashjs3.1.3_c48
1646808211, 8000, 4065, dashjs3.1.3_c67
1646808213, 8000, 4139, dashjs3.1.3_c48
1646808214, 8000, 4724, dashjs3.1.3_c67
1646808216, 8000, 4140, dashjs3.1.3_c48
1646808216, 8000, 4136, dashjs3.1.3_c67
1646808219, 8000, 5297, dashjs3.1.3_c48
1646808220, 8000, 5673, dashjs3.1.3_c67
1646808224, 8000, 4582, dashjs3.1.3_c48
1646808224, 8000, 4764, dashjs3.1.3_c67
1646808227, 8000, 7489, dashjs3.1.3_c48
1646808227, 4000, 24358, dashjs3.1.3_c67
1646808234, 4000, 2520, dashjs3.1.3_c48
1646808235, 4000, 2124, dashjs3.1.3_c67
1646808240, 4000, 2137, dashjs3.1.3_c67
1646808240, 4000, 2043, dashjs3.1.3_c48
1646808244, 4000, 2006, dashjs3.1.3_c48
1646808246, 4000, 2152, dashjs3.1.3_c67
1646808248, 4000, 2076, dashjs3.1.3_c48
1646808250, 4000, 1994, dashjs3.1.3_c67
1646808251, 4000, 2350, dashjs3.1.3_c48
1646808252, 4000, 2940, dashjs3.1.3_c67
1646808252, 4000, 2110, dashjs3.1.3_c48
1646808253, 4000, 3095, dashjs3.1.3_c67
1646808256, 4000, 2000, dashjs3.1.3_c48
1646808256, 4000, 2654, dashjs3.1.3_c67
1646808261, 2000, 2153, dashjs3.1.3_c67
1646808264, 2000, 1400, dashjs3.1.3_c48
1646808266, 2000, 1688, dashjs3.1.3_c67
1646808269, 2000, 1273, dashjs3.1.3_c48
1646808271, 2000, 1250, dashjs3.1.3_c67
1646808274, 2000, 1086, dashjs3.1.3_c48
1646808274, 2000, 1372, dashjs3.1.3_c67
1646808276, 2000, 1339, dashjs3.1.3_c48
1646808277, 2000, 1491, dashjs3.1.3_c67
1646808280, 2000, 1551, dashjs3.1.3_c67
1646808281, 2000, 1738, dashjs3.1.3_c48
1646808285, 2000, 1307, dashjs3.1.3_c67
1646808285, 2000, 1332, dashjs3.1.3_c48
1646808288, 2000, 1405, dashjs3.1.3_c48
1646808288, 4000, 1517, dashjs3.1.3_c67
1646808291, 4000, 3130, dashjs3.1.3_c48
1646808291, 4000, 3570, dashjs3.1.3_c67
1646808295, 4000, 2848, dashjs3.1.3_c48
1646808295, 4000, 3063, dashjs3.1.3_c67
1646808299, 4000, 2719, dashjs3.1.3_c48
1646808299, 4000, 3491, dashjs3.1.3_c67
1646808304, 4000, 2042, dashjs3.1.3_c67
1646808304, 4000, 2676, dashjs3.1.3_c48
1646808308, 4000, 2300, dashjs3.1.3_c48
1646808308, 4000, 2350, dashjs3.1.3_c67
1646808312, 4000, 2385, dashjs3.1.3_c48
1646808312, 4000, 2501, dashjs3.1.3_c67
1646808316, 4000, 2541, dashjs3.1.3_c48
1646808316, 4000, 2591, dashjs3.1.3_c67
1646808318, 4000, 6388, dashjs3.1.3_c48
1646808318, 8000, 11307, dashjs3.1.3_c67
1646808323, 8000, 6303, dashjs3.1.3_c48
1646808323, 8000, 7444, dashjs3.1.3_c67
1646808328, 8000, 5007, dashjs3.1.3_c48
1646808328, 8000, 5064, dashjs3.1.3_c67
1646808332, 8000, 5194, dashjs3.1.3_c48
1646808332, 8000, 5180, dashjs3.1.3_c67
1646808336, 8000, 4185, dashjs3.1.3_c67
1646808337, 8000, 5001, dashjs3.1.3_c48
1646808340, 8000, 4255, dashjs3.1.3_c67
1646808340, 8000, 4427, dashjs3.1.3_c48
1646808344, 8000, 4928, dashjs3.1.3_c48
1646808344, 8000, 5187, dashjs3.1.3_c67
1646808348, 8000, 5007, dashjs3.1.3_c48
1646808348, 8000, 5011, dashjs3.1.3_c67
1646808350, 20000, 10782, dashjs3.1.3_c67
1646808350, 20000, 10831, dashjs3.1.3_c48
1646808355, 20000, 10125, dashjs3.1.3_c48
1646808355, 20000, 13082, dashjs3.1.3_c67
1646808358, 20000, 14959, dashjs3.1.3_c48
1646808359, 20000, 16076, dashjs3.1.3_c67
1646808363, 20000, 11107, dashjs3.1.3_c48
1646808363, 20000, 12959, dashjs3.1.3_c67
1646808366, 20000, 16189, dashjs3.1.3_c48
1646808367, 20000, 17494, dashjs3.1.3_c67
1646808370, 20000, 20448, dashjs3.1.3_c48
1646808371, 20000, 20094, dashjs3.1.3_c67
1646808375, 20000, 10117, dashjs3.1.3_c48
1646808375, 20000, 10943, dashjs3.1.3_c67
1646808378, 8000, 15331, dashjs3.1.3_c48
1646808378, 8000, 31471, dashjs3.1.3_c67
1646808386, 8000, 4058, dashjs3.1.3_c48
1646808386, 8000, 4121, dashjs3.1.3_c67
1646808390, 8000, 4085, dashjs3.1.3_c48
1646808390, 8000, 4074, dashjs3.1.3_c67
1646808394, 8000, 4118, dashjs3.1.3_c48
1646808394, 8000, 4088, dashjs3.1.3_c67
1646808397, 8000, 4165, dashjs3.1.3_c48
1646808397, 8000, 4644, dashjs3.1.3_c67
1646808399, 8000, 6216, dashjs3.1.3_c48
1646808399, 8000, 6793, dashjs3.1.3_c67
1646808403, 8000, 4060, dashjs3.1.3_c48
1646808403, 8000, 5220, dashjs3.1.3_c67
1646808406, 8000, 6465, dashjs3.1.3_c48
1646808406, 8000, 6068, dashjs3.1.3_c67
1646808413, 4000, 2264, dashjs3.1.3_c67
1646808414, 4000, 2833, dashjs3.1.3_c48
1646808420, 4000, 2141, dashjs3.1.3_c48
1646808420, 4000, 2045, dashjs3.1.3_c67
1646808424, 4000, 2084, dashjs3.1.3_c67
1646808425, 4000, 2033, dashjs3.1.3_c48
1646808428, 4000, 2111, dashjs3.1.3_c48
1646808428, 4000, 2122, dashjs3.1.3_c67
1646808428, 4000, 4981, dashjs3.1.3_c67
